,product brand,product name,price,store name
9891,Unknown,"Zucchini Pepper Kebab, 4 pack",10.0,"Brewery Dist, Edmonton"
10728,Unknown,"Zucchini Pepper Kebab, 2 pack",6.0,"Brewery Dist, Edmonton"
3719,Unknown,Zucchini,1.66,"Mclaughlin, Toronto"
9434,Unknown,Zucchini,1.85,"Brewery Dist, Edmonton"
18,Unknown,Zucchini,1.85,"Lonsdale, Vancouver"
13784,Unknown,Zucchini,1.66,"Mcarthur, Ottawa"
14770,Unknown,Yellow Yams,6.05,"Mcarthur, Ottawa"
4702,Unknown,Yellow Yams,6.05,"Mclaughlin, Toronto"
7402,Unknown,"Yellow Russet Potatoes, 10 Lbs",6.99,"Mclaughlin, Toronto"
4684,Unknown,Yellow Potatoes,1.98,"Mclaughlin, Toronto"
14752,Unknown,Yellow Potatoes,1.98,"Mcarthur, Ottawa"
981,Unknown,Yellow Potatoes,1.78,"Lonsdale, Vancouver"
3122,Unknown,Yellow Peaches,3.08,"Lonsdale, Vancouver"
12584,Unknown,Yellow Peaches,3.08,"Brewery Dist, Edmonton"
9676,Unknown,Yellow Onions Diced,4.0,"Brewery Dist, Edmonton"
16381,Unknown,Yellow Onion,1.54,"Mcarthur, Ottawa"
6297,Unknown,Yellow Onion,1.54,"Mclaughlin, Toronto"
11531,Unknown,Yellow Nectarines,2.16,"Brewery Dist, Edmonton"
14765,Unknown,Yellow Dragon Fruit,5.99,"Mcarthur, Ottawa"
10410,Unknown,Yellow Dragon Fruit,6.99,"Brewery Dist, Edmonton"
4704,Unknown,Yellow Dragon Fruit,5.99,"Mclaughlin, Toronto"
6304,Unknown,Yellow Beans,5.99,"Mclaughlin, Toronto"
14483,Unknown,Yellow Asian Pears,2.46,"Mcarthur, Ottawa"
965,Unknown,Yellow Asian Pears,2.46,"Lonsdale, Vancouver"
10130,Unknown,Yellow Asian Pears,2.46,"Brewery Dist, Edmonton"
8723,Unknown,"Wonderful Pistachios, Shelled",8.99,"Mclaughlin, Toronto"
13906,Unknown,White Yams,6.05,"Mcarthur, Ottawa"
5834,Unknown,White Yams,6.05,"Mclaughlin, Toronto"
15452,Unknown,White Potatoes,2.37,"Mcarthur, Ottawa"
5397,Unknown,White Potatoes,2.37,"Mclaughlin, Toronto"
11097,Unknown,White Potatoes,2.37,"Brewery Dist, Edmonton"
10720,Unknown,White Peaches,2.31,"Brewery Dist, Edmonton"
15081,Unknown,White Peaches,2.31,"Mcarthur, Ottawa"
5014,Unknown,White Peaches,2.31,"Mclaughlin, Toronto"
1300,Unknown,White Peaches,2.31,"Lonsdale, Vancouver"
2611,Unknown,White Onion,2.44,"Lonsdale, Vancouver"
7404,Unknown,White Onion,2.19,"Mclaughlin, Toronto"
17480,Unknown,White Onion,2.19,"Mcarthur, Ottawa"
12542,Unknown,White Onion,2.44,"Brewery Dist, Edmonton"
11573,Unknown,White Mushrooms,0.36,"Brewery Dist, Edmonton"
2139,Unknown,White Mushrooms,0.36,"Lonsdale, Vancouver"
975,Unknown,White Flesh Nectarine,1.06,"Lonsdale, Vancouver"
14744,Unknown,White Flesh Nectarine,1.85,"Mcarthur, Ottawa"
10388,Unknown,White Flesh Nectarine,1.06,"Brewery Dist, Edmonton"
4685,Unknown,White Flesh Nectarine,1.85,"Mclaughlin, Toronto"
13903,Unknown,Watermelon Quarters,6.28,"Mcarthur, Ottawa"
7415,Unknown,Watermelon Cubed Small 300G,6.0,"Mclaughlin, Toronto"
1314,Unknown,Watermelon Cubed Small 300G,6.0,"Lonsdale, Vancouver"
15915,Unknown,Watermelon Cubed Large,10.0,"Mcarthur, Ottawa"
11547,Unknown,Watermelon Cubed Large,9.0,"Brewery Dist, Edmonton"
140,Unknown,Watermelon Cubed Large,9.0,"Lonsdale, Vancouver"
12045,Unknown,Watercress,3.99,"Brewery Dist, Edmonton"
6855,Unknown,Watercress,2.49,"Mclaughlin, Toronto"
974,Unknown,Villagio Marzano Tomatoes,7.99,"Lonsdale, Vancouver"
10387,Unknown,Villagio Marzano Tomatoes,7.99,"Brewery Dist, Edmonton"
5418,Unknown,Vero Tomato,6.99,"Mclaughlin, Toronto"
15477,Unknown,Vero Tomato,6.99,"Mcarthur, Ottawa"
1710,Unknown,Veggie Tripack,14.0,"Lonsdale, Vancouver"
15892,Unknown,Veggie Tripack,14.0,"Mcarthur, Ottawa"
11542,Unknown,Veggie Tripack,14.0,"Brewery Dist, Edmonton"
