id,product brand,product name,edmonton_price,brand id
9891,Unknown,"Zucchini Pepper Kebab, 4 pack",10.0,1
10728,Unknown,"Zucchini Pepper Kebab, 2 pack",6.0,1
9434,Unknown,Zucchini,1.85,1
9557,President's Choice,Yellow Potatoes,6.99,2
12035,Farmer's Market,Yellow Potato 10lb Bag,8.49,3
12584,Unknown,Yellow Peaches,3.08,1
9676,Unknown,Yellow Onions Diced,4.0,1
9429,Farmer's Market,Yellow Onions,3.49,3
13763,Farmer's Market,Yellow Onions,10.99,3
11531,Unknown,Yellow Nectarines,2.16,1
10089,President's Choice,Yellow Mini Potatoes,4.99,2
10410,Unknown,Yellow Dragon Fruit,6.99,1
10130,Unknown,Yellow Asian Pears,2.46,1
9461,Paramount,"Wonderful Pistachios, Sweet Chili",6.99,4
11097,Unknown,White Potatoes,2.37,1
10720,Unknown,White Peaches,2.31,1
12542,Unknown,White Onion,2.44,1
11573,Unknown,White Mushrooms,0.36,1
10388,Unknown,White Flesh Nectarine,1.06,1
11547,Unknown,Watermelon Cubed Large,9.0,1
12045,Unknown,Watercress,3.99,1
9876,Inspired Leaves,Washed Lettuce Crispies & Crunchies,5.99,5
10387,Unknown,Villagio Marzano Tomatoes,7.99,1
11542,Unknown,Veggie Tripack,14.0,1
11575,Marzetti,"Veggie Dip, Spinach",5.99,6
13757,Marzetti,"Veggie Dip, Southwest Ranch",5.99,6
12540,Marzetti,"Veggie Dip, Light Ranch",5.99,6
13748,President's Choice,Vegetable Medley,8.99,2
10735,President's Choice,Variety Pack Tomatoes,8.99,2
10752,PC Blue Menu,Unsalted California Pistachios,6.49,8
10092,PC Blue Menu,Unsalted California Pistachios,11.99,8
11104,Unknown,Turnips,2.5,1
9423,Unknown,Tomato On The Vine Red (1 Bunch),4.68,1
9516,Unknown,Tomato Grape Cherub,6.99,1
10749,Unknown,Tomato Bocconcini Salad,9.0,1
9425,Unknown,Tomato Beefsteak Red,1.47,1
10741,President's Choice,Thyme,3.29,2
13154,President's Choice,Tarragon,3.29,2
9534,Unknown,Tamarinds,5.99,1
13159,Unknown,Taiwanese Flat Cabbage,3.97,1
13133,Farmer's Market,Sweet Potatoes,9.99,3
9458,Unknown,Sweet Potato,3.46,1
12020,Unknown,Sweet Onion,3.03,1
10411,Eat Smart,Sweet Kale Salad Kit,6.49,12
10733,Unknown,Sweet Kale,9.0,1
9444,Unknown,Sweet Green Peppers,3.08,1
10117,Renees,Sweet Chili Refrigerated Dip,5.99,11
11560,POM Wonderful,Super Tea Pomegranate Peach Passion White Tea,11.99,13
9874,Dole,Sunflower Bacon Crunch Chopped Salad Kit,6.99,14
11101,Sunrich,Sun Rich Sliced Red Apples,6.0,16
12050,Manns,Sugar Snap Peas  ,10.99,17
10744,Unknown,Strawberry Parfait,5.0,1
12556,Bolthouse,Strawberry Banana,9.99,7
10415,Unknown,Strawberries Small,6.0,1
9430,Unknown,Strawberries 2LB,9.99,1
9418,Unknown,Strawberries 1LB,6.49,1
9854,Unknown,"Stir Fry Vegetable Mix (Peppers,Mushrooms & Onion Mix)",6.0,1
10395,Unknown,"Steak & Egg Salad, Family Size",19.0,1
9515,Unknown,Steak & Egg Salad,9.0,1
12018,Fresh Attitude,Spring Mix Salad with Toppings Single Sized,6.99,18
10121,President's Choice,Spring Mix,4.99,2
12546,Unknown,"Spinach, Bunched",2.99,1
9537,Unknown,Spaghetti Squash,8.3,1
9539,President's Choice,Southwest Salad Kit,6.99,2
9879,Marzetti,Southwest Ranch Veggie Dip,1.49,6
12010,Unknown,Sour Cabbage Head,11.74,1
13134,Unknown,Solo Papaya,7.99,1
9538,Manns,Snow Peas,5.99,17
13151,Unknown,Snap Peas,5.99,1
9693,Unknown,Snack Platter Vegetables,6.0,1
