id,product brand,product name,ottowa_price,brand id
13784,Unknown,Zucchini,1.66,1
14770,Unknown,Yellow Yams,6.05,1
14016,President's Choice,Yellow Potatoes,6.99,2
14752,Unknown,Yellow Potatoes,1.98,1
13779,Farmer's Market,Yellow Onions,2.99,3
16381,Unknown,Yellow Onion,1.54,1
14459,President's Choice,Yellow Mini Potatoes,4.99,2
15903,President's Choice,Yellow Hot Hot Peppers,4.99,2
14765,Unknown,Yellow Dragon Fruit,5.99,1
14483,Unknown,Yellow Asian Pears,2.46,1
17495,Paramount,"Wonderful Pistachios, Roasted & Salted",6.49,4
13906,Unknown,White Yams,6.05,1
15452,Unknown,White Potatoes,2.37,1
15081,Unknown,White Peaches,2.31,1
17480,Unknown,White Onion,2.19,1
14744,Unknown,White Flesh Nectarine,1.85,1
13903,Unknown,Watermelon Quarters,6.28,1
15915,Unknown,Watermelon Cubed Large,10.0,1
15477,Unknown,Vero Tomato,6.99,1
15892,Unknown,Veggie Tripack,14.0,1
16387,Marzetti,"Veggie Dip, Spinach",5.99,6
19483,Marzetti,"Veggie Dip, Southwest Ranch",5.99,6
19481,Marzetti,"Veggie Dip, Ranch Snack Pack",6.99,6
18127,Marzetti,"Veggie Dip, Ranch",5.99,6
16929,Marzetti,"Veggie Dip, Light Ranch",5.99,6
17492,Unknown,Vegetable Platter Large,21.0,1
17503,President's Choice,Vegetable Medley,5.49,2
16916,Bolthouse,Vanilla Chai Tea,6.99,7
14463,PC Blue Menu,Unsalted California Pistachios,10.99,8
15099,PC Blue Menu,Unsalted California Pistachios,5.99,8
15458,Greenhouse,Ultraviolet Organic Kombucha,9.99,9
15461,Unknown,Turnips,2.92,1
13877,Unknown,Turmeric,4.32,1
14037,Unknown,Turkish Pearl Couscous Salad,5.61,1
14732,Unknown,Tomatoes,6.99,1
17488,Unknown,Tomato Sugar Bomb,6.99,1
13773,Unknown,Tomato On The Vine Red (1 Bunch),2.33,1
13774,Unknown,Tomato Beefsteak Red,1.47,1
16911,Tiffany Gates,Tiffany Gate Italian Gemelli Salad,2.29,10
