id,product brand,product name,toronto_price,brand id
3719,Unknown,Zucchini,1.66,1
4702,Unknown,Yellow Yams,6.05,1
7402,Unknown,"Yellow Russet Potatoes, 10 Lbs",6.99,1
4684,Unknown,Yellow Potatoes,1.98,1
3803,President's Choice,Yellow Potatoes,6.99,2
3714,Farmer's Market,Yellow Onions,2.99,3
6297,Unknown,Yellow Onion,1.54,1
4393,President's Choice,Yellow Mini Potatoes,4.99,2
3963,President's Choice,Yellow Hot Hot Peppers,4.99,2
4704,Unknown,Yellow Dragon Fruit,5.99,1
6304,Unknown,Yellow Beans,5.99,1
3747,Paramount,"Wonderful Pistachios, Sweet Chili",6.49,4
8723,Unknown,"Wonderful Pistachios, Shelled",8.99,1
7419,Paramount,"Wonderful Pistachios, Roasted & Salted",6.49,4
5834,Unknown,White Yams,6.05,1
5397,Unknown,White Potatoes,2.37,1
5014,Unknown,White Peaches,2.31,1
7404,Unknown,White Onion,2.19,1
4685,Unknown,White Flesh Nectarine,1.85,1
7415,Unknown,Watermelon Cubed Small 300G,6.0,1
6855,Unknown,Watercress,2.49,1
5418,Unknown,Vero Tomato,6.99,1
3966,Unknown,"Veggie Platter, Small",14.0,1
6314,Marzetti,"Veggie Dip, Spinach",5.99,6
8736,Marzetti,"Veggie Dip, Southwest Ranch",5.99,6
8734,Marzetti,"Veggie Dip, Ranch Snack Pack",6.99,6
8051,Marzetti,"Veggie Dip, Ranch",5.99,6
6848,Marzetti,"Veggie Dip, Light Ranch",5.99,6
7425,President's Choice,Vegetable Medley,5.49,2
6831,Bolthouse,Vanilla Chai Tea,6.99,7
4396,PC Blue Menu,Unsalted California Pistachios,10.99,8
5035,PC Blue Menu,Unsalted California Pistachios,5.99,8
5400,Greenhouse,Ultraviolet Organic Kombucha,9.99,9
5426,Unknown,Turnips,2.92,1
3826,Unknown,Turmeric,4.32,1
3960,Unknown,Turkish Pearl Couscous Salad,5.61,1
7410,Unknown,Tomato Sugar Bomb,6.99,1
3707,Unknown,Tomato On The Vine Red (1 Bunch),2.33,1
3709,Unknown,Tomato Beefsteak Red,1.47,1
6327,Tiffany Gates,Tiffany Gate Feta Fiesta Kale Salad,2.29,10
5026,President's Choice,Thyme,2.99,2
4180,Unknown,The Chop,12.0,1
3981,Unknown,The Built,12.0,1
8722,President's Choice,Tarragon,2.99,2
4694,Unknown,"Taro Root, Medium",16.46,1
3807,Unknown,Tamarinds,5.99,1
8730,Unknown,Taiwanese Flat Cabbage,4.96,1
5416,Farmer's Market,Sweet Potatoes,5.99,3
3744,Unknown,Sweet Potato,2.49,1
4391,Renees,"Sweet Onion Vinaigrette, Pouch",0.59,11
6316,Unknown,Sweet Onion,2.73,1
5836,Unknown,Sweet Nantes Carrots,3.99,1
5044,President's Choice,Sweet Kale Salad Kit,6.49,2
4680,Eat Smart,Sweet Kale Salad Kit,5.99,12
3820,Unknown,Sweet Kale Salad Family Size,17.0,1
3729,Unknown,Sweet Green Peppers,2.46,1
6821,Renees,Sweet Chili Refrigerated Dip,5.99,11
4400,President's Choice,Sweet Baby Lettuce,4.99,2
6843,Unknown,Sweet Baby Cauliflower,3.99,1
5848,POM Wonderful,Super Tea Pomegranate Peach Passion White Tea,11.99,13
4165,Dole,Sunflower Bacon Crunch Chopped Salad Kit,6.99,14
5411,Sunrich,Sun Rich Sliced Red Apples,6.0,16
5029,Unknown,Strawberry Parfait,5.0,1
8047,Bolthouse,Strawberry Banana,6.99,7
5852,Bolthouse,Strawberry Banana,4.99,7
3715,Unknown,Strawberries 2LB,8.99,1
4668,Unknown,Star Fruit,2.99,1
6315,Fresh Attitude,Spring Mix Salad with Toppings Single Sized,5.99,18
4698,President's Choice,Spring Mix,6.49,2
3827,President's Choice,Spring Herb Vinagrette Pouch,0.59,2
7406,Unknown,"Spinach, Bunched",3.49,1
4136,GoodLeaf,Spicy Mustard Medley,4.79,19
4677,Farmer's Market,Spartan Apples,7.99,3
8057,Unknown,Spanish Onion,1.81,1
5830,Unknown,Spaghetti Squash,8.3,1
3970,Unknown,"Southwestern Chicken Salad, Family Size",17.0,1
4174,Marzetti,Southwest Ranch Veggie Dip,1.49,6
4687,Unknown,"Sonata, Sweet Mini Peppers",3.99,1
8699,Unknown,Snow Peas,4.99,1
8705,Unknown,Snap Peas,4.99,1
6339,Manns,Snap Peas,8.99,17
7431,Loop,"Smoothie, Green Vibes",8.99,20
3809,Unknown,Small Cubed Cantaloupe,6.0,1
4168,PC Organics,Sliced and Whole Bistro Blend Mushrooms,6.99,21
3811,Unknown,Shishito Peppers,4.99,1
6861,Unknown,Shanghai Bok Choy Jr.,3.95,1
7438,Unknown,Shanghai Bok Choy,4.22,1
5042,Unknown,Shallots,5.99,1
3838,Unknown,Seedless Watermelon Halves,7.0,1
6334,President's Choice,Seedless Lemons,5.99,2
5813,Unknown,Seafood Vinaigrette Salad,4.58,1
3976,President's Choice,Sea Salt Pistachios,7.99,2
5392,President's Choice,Scotch Bonnet Hot Peppers,4.99,2
6858,Unknown,Savoy Cabbage,4.28,1
7412,President's Choice,Salted Virginia Peanuts,3.99,2
5040,President's Choice,Salted California Pistachios,5.99,2
5385,President's Choice,Salted California Pistachios,10.99,2
4412,Unknown,Rutabaga,4.52,1
4407,President's Choice,Russet Potatoes,5.49,2
3739,Farmer's Market,Russet Potatoes,5.99,3
4383,Unknown,Russet Potato,2.36,1
5398,President's Choice,Ruby Little Gems Potatoes,4.99,2
3733,Unknown,Royal Gala Apples,1.15,1
5024,President's Choice,Rosemary,2.99,2
4399,Unknown,Romaine Salad Family Size,15.0,1
5013,President's Choice,Romaine Salad,4.49,2
6833,PC Organics,Romaine Lettuce Hearts,6.99,21
8715,Unknown,Romaine Lettuce,3.49,1
6836,Unknown,Romaine Hearts,9.99,1
3708,Unknown,"Romaine Heart, 3 Pack",2.99,1
3730,Unknown,Roma Tomatoes,0.66,1
6336,No Name,"Roasted Peanuts, No Salt",6.99,22
3985,Unknown,Roasted Corn & Pepper Quinoa,9.62,1
3967,Aurora,Roasted Chestnuts,2.99,15
6305,Unknown,Rhubarb,6.99,1
5020,President's Choice,Red Thai Hot Peppers,4.99,2
6852,Unknown,Red Swiss Chard,3.99,1
3703,Unknown,Red Seedless Watermelon,7.99,1
4155,Unknown,Red Seeded Watermelon,12.99,1
5039,Unknown,Red Prince Apple,9.99,1
5850,Farmer's Market,Red Potatoes 10lb Bag,6.99,3
9413,Unknown,Red Potatoes,1.43,1
5424,President's Choice,Red Potatoes,5.99,2
3716,Unknown,Red Peppers,2.11,1
8737,Farmer's Market,Red Onions,5.49,3
3718,Unknown,Red Onion,2.19,1
8041,Farmer's Market,Red Grapefruit,9.99,3
8703,Bolthouse,Red Goodness,6.99,7
3705,Unknown,Red Cherries,7.83,1
9414,Unknown,Red Cabbage,4.96,1
6853,Unknown,"Red Beets, Bunched",4.99,1
4378,Unknown,Red Beets,1.04,1
4690,Unknown,"Red Bananas, Bunch",3.74,1
3804,Unknown,Red Anjou Pears,1.54,1
5420,No Name,"Raw, Unsalted Sunflower Seeds",2.29,22
4172,No Name,"Raw, Unsalted Pumpkin Seeds",2.29,22
3748,Greenhouse,"Raw, Organic Juice Farma-C",7.99,9
8693,Greenhouse,"Raw, Organic Juice Deep Roots",7.99,9
4178,Unknown,Raspberry Pint,7.99,1
6862,Unknown,Rapini,3.99,1
6824,Renees,Ranch Refrigerated Dip,5.99,11
5842,President's Choice,Ranch Pouch 44Ml,0.59,2
8058,Unknown,Radishes,2.49,1
8062,Unknown,Radish,2.99,1
8033,Unknown,Radicchio Treviso,11.0,1
9415,Unknown,Purple Eggplants,3.13,1
5382,Unknown,Premium Taco Salad,9.0,1
4382,Unknown,Premium Greek Classic,9.0,1
3986,Unknown,Premium Garden Veg Romaine,9.0,1
3972,Unknown,Premium Chicken Caesar Salad,9.0,1
3798,Unknown,Premium Chicken BLT,9.0,1
5389,Unknown,Premium Caesar Salad,9.0,1
4701,Tiffany Gates,Potato Salad New Orleans,2.29,10
7400,Unknown,Potato Baking Tray,4.99,1
5832,President's Choice,Poppyseed Pouch 44Ml,0.59,2
8040,Unknown,Popeye Select Spinach,11.99,1
4410,POM Wonderful,Pomegranate Juice,9.99,13
5839,Unknown,Pomegranate,3.99,1
3799,President's Choice,Poblano Hot Peppers,4.99,2
3834,Greenhouse,Plant-Based Collagen Booster Glow,3.99,9
8721,Unknown,Pitted Honey Dates,6.99,1
4413,Paramount,"Pistachios, Salt & Pepper",6.49,4
5396,Paramount,"Pistachios, Roasted & Unsalted",6.49,4
5410,Paramount,Pistachios No Shells Honey Roasted,8.99,4
5837,Paramount,Pistachios No Shells Chili Roasted,8.99,4
5427,Paramount,Pistachios Lightly Salted,11.99,4
4153,Unknown,Pink Lady Apples,1.61,1
7424,Unknown,Pineapple/Straws Large,10.0,1
4135,Unknown,Pineapple Cubed Small,6.0,1
4150,Unknown,Pineapple Cubed Large,10.0,1
6822,Unknown,Pineapple,5.49,1
4154,Greenhouse,Pick-Me-Up For Energy Multipack,14.99,9
3979,Unknown,Physalis (Gooseberries),4.99,1
3975,Unknown,"Peppers, Mini",5.99,1
3969,President's Choice,Pencil Hot Hot Peppers,4.99,2
4401,Unknown,Pearl Onion,2.99,1
8053,Unknown,Peaches,2.47,1
6841,Farmer's Market,Peaches,8.99,3
8700,Remedy,Peach Kombucha,5.99,23
6308,Gourmet Garden,Paste Thai Seasoning,5.99,24
6311,Gourmet Garden,Paste Lemongrass,5.99,24
8025,Gourmet Garden,Paste Italian Herbs,5.99,24
6865,Gourmet Garden,Paste Ginger,5.99,24
8713,Gourmet Garden,Paste Garlic,5.99,24
6310,Gourmet Garden,Paste Cilantro,5.99,24
6867,Gourmet Garden,Paste Chunky Garlic,5.99,24
8717,Gourmet Garden,Paste Basil,5.99,24
8037,Unknown,Parsnips 1lb Bag,5.99,1
7401,Unknown,Papaya,5.71,1
8733,The Little Potato Company,Oven BBQ Ready Onion Chive Potatoes,4.99,25
8043,The Little Potato Company,Oven BBQ Ready Garlic Herb Potatoes,4.99,25
3978,Unknown,Original Greek Acropolis Salad,5.73,1
4384,PC Organics,Organics Yellow Onions,4.99,21
8068,PC Organics,Organics Whole White Mushrooms,8.99,21
6866,PC Organics,Organics Whole Shitake Mushrooms,4.99,21
