id,product brand,product name,vancouver_price,brand id
18,Unknown,Zucchini,1.85,1
981,Unknown,Yellow Potatoes,1.78,1
3122,Unknown,Yellow Peaches,3.08,1
3697,Farmer's Market,Yellow Onions,10.99,3
13,Farmer's Market,Yellow Onions,3.49,3
471,President's Choice,Yellow Mini Potatoes,4.99,2
107,President's Choice,Yellow Caribe Hot Peppers,5.99,2
965,Unknown,Yellow Asian Pears,2.46,1
99,Paramount,"Wonderful Pistachios, Sweet Chili",6.99,4
1318,Paramount,"Wonderful Pistachios, Roasted & Salted",6.99,4
1707,President's Choice,White Potatoes,8.49,2
1300,Unknown,White Peaches,2.31,1
2611,Unknown,White Onion,2.44,1
2139,Unknown,White Mushrooms,0.36,1
975,Unknown,White Flesh Nectarine,1.06,1
1314,Unknown,Watermelon Cubed Small 300G,6.0,1
140,Unknown,Watermelon Cubed Large,9.0,1
283,Inspired Leaves,Washed Lettuce Crispies & Crunchies,5.99,5
974,Unknown,Villagio Marzano Tomatoes,7.99,1
1710,Unknown,Veggie Tripack,14.0,1
131,Unknown,"Veggie Platter, Small",15.0,1
2156,Marzetti,"Veggie Dip, Spinach",5.99,6
3163,Marzetti,"Veggie Dip, Southwest Ranch",5.99,6
1726,Marzetti,"Veggie Dip, Ranch Snack Pack",6.99,6
3124,Marzetti,"Veggie Dip, Ranch",5.99,6
701,Marzetti,"Veggie Dip, Light Ranch",5.99,6
1315,Unknown,Vegetable Platter Large,21.0,1
2616,President's Choice,Vegetable Medley,5.49,2
3150,President's Choice,Vegetable Medley,8.99,2
1311,President's Choice,Variety Pack Tomatoes,8.99,2
693,Bolthouse,Vanilla Chai Tea,6.99,7
473,PC Blue Menu,Unsalted California Pistachios,11.99,8
1334,PC Blue Menu,Unsalted California Pistachios,6.49,8
7,Unknown,Tomato On The Vine Red (1 Bunch),4.68,1
9,Unknown,Tomato Beefsteak Red,1.47,1
137,Tiffany Gates,Tiffany Gate Golden Chickpea Salad,2.29,10
1325,President's Choice,Thyme,3.29,2
3157,President's Choice,Tarragon,3.29,2
2121,Farmer's Market,Sweet Potatoes,9.99,3
