product name,"Brewery Dist, Edmonton","Lonsdale, Vancouver","Mcarthur, Ottawa","Mclaughlin, Toronto"
100% Carrot,,9.99,6.99,9.99
100% Pomegranate Juice,6.99,15.99,6.99,6.99
4 Inch Cilantro Pot,3.99,3.99,,
4 Inch Oregano Pot,3.99,3.99,,
50-50 Blend - A Blend of Baby Spinach and Field Greens,6.99,6.99,6.49,
Abate Fetel Pears,,,1.58,1.58
Acorn Squash,5.54,5.54,5.54,5.54
Alphonso mango,,,5.99,5.99
Amazing Mango,6.99,9.99,6.99,6.99
Ambrosia Apples,1.45,1.45,8.99,8.99
Anaheim Hot Peppers,,,,4.99
Antiox,3.99,,,
Apple Cider Vin Pouch 45 Ml,,0.59,0.59,0.59
Apple Cosmic Crisp,1.85,1.85,2.11,
Apricots,1.08,,0.92,0.92
"Artichokes, Large",,,,2.99
Arugula,,,4.99,4.99
Arugula & Baby Spinach Salad Mix,4.99,4.99,4.99,4.99
Asian Salad,7.49,7.49,7.49,
Asparagus,6.49,6.49,5.19,5.19
Ataulfo Mango,2.99,2.99,1.99,1.99
Ataulfo Mangoes 3 Count,,,,4.99
Avocado,1.99,1.99,2.99,2.99
Avocado Ranch Chopped Salad Kit,,,6.99,
Avocado Salad,9,9,,
Avocados Bag,6.49,6.49,5.99,5.99
"Avocados, Bag",6.99,6.99,6.99,6.99
Axiany Cherry Tomatoes,3.99,3.99,,5.99
Baby Arugula,4.99,4.99,4.99,4.99
Baby Arugula Spinach Blend,,4.99,,4.99
Baby Bok Choy,,,4.35,4.35
Baby Corn,,,,5.99
Baby Eggplants (1 pack),,,2.77,2.77
Baby Napa,,,,6.59
Baby Peeled Carrots,,,5.99,
Baby Spinach,6.99,9,6.49,6.49
Baby Spinach And Tender Red Lettuce,,4.99,4.99,
Bacon Caesar Chop Salad Kit,,6.99,6.99,
Balsamic Vinaigrette Pouch,0.59,0.59,0.59,0.59
Banana Oatmeal Granola Parfait with Mixed Berries,,,,5
"Bananas, Bunch",2,2,1.75,1.75
Barbecue Ranch Chopped Salad Kit,,6.99,6.99,
Bard Valley Natural Delights Pitted Medjool Dates,9.99,9.99,9.99,9.99
Bartlett Pears,1.38,1.38,1.38,1.38
Basil,,5.49,4.99,2.99
Bay Leaf,,,2.99,
Bean Runner,,,4.99,4.99
Bean Sprouts,,,,2.49
Berry Boost,6.99,6.99,6.99,6.99
Berry Boost Juice,,,4.99,4.99
Beta Sweet Carrots,,,,5.99
"Bi-Colour Corn, Corn on the Cob",0.99,0.99,,0.99
"Bio Raw, Fiesta",,,,12
"Bio Raw, The Shred",,,,12
Black Figs,,,1.29,1.29
Blackberries,,,4.99,4.99
Blackberries 1 pint,8.99,8.99,8.99,8.99
Blackberries 1/2 Pint,4.99,4.99,,
Blood Orange Tarocco,,,2.89,
Blood Oranges,7.99,7.99,7.99,
Blue Goodness,6.99,6.99,6.99,6.99
Blueberries,4.99,4.99,4.99,
Blueberries 1 pint,3.99,3.99,5.99,5.99
Blueberries 1/2 pint,,,3.99,
Blueberry Parfait,5,5,5,
Bok Choy,3.51,3.51,2.98,
Bombay Chicken Salad,,,6.18,
Bosc Pears,,1.69,,1.45
Broccoli,4.49,4.49,3.99,3.99
Broccoli Cashew Crunch Salad,,,,2.29
Broccoli Crowns,3.34,3.34,3.34,3.34
Broccoli Crunch Salad Kit,6.99,6.99,,6.99
Broccoli Florets,4.99,9.99,4.99,4.99
"Broccoli Salad, Mini",5,,,
Broccoli Slaw,4.49,7.99,4.49,4.49
Broccolini,3.99,3.99,3.99,3.99
Brussel Sprouts with Red Onions,7,7,7,
Brussels Sprouts,,0.33,0.3,0.3
Buttercup Squash,,,10.06,10.06
