id,product brand,product name,price,store name
9891,Unknown,"Zucchini Pepper Kebab, 4 pack",10,"Brewery Dist, Edmonton"
10728,Unknown,"Zucchini Pepper Kebab, 2 pack",6,"Brewery Dist, Edmonton"
3719,Unknown,Zucchini,1.66,"Mclaughlin, Toronto"
9434,Unknown,Zucchini,1.85,"Brewery Dist, Edmonton"
18,Unknown,Zucchini,1.85,"Lonsdale, Vancouver"
13784,Unknown,Zucchini,1.66,"Mcarthur, Ottawa"
14770,Unknown,Yellow Yams,6.05,"Mcarthur, Ottawa"
4702,Unknown,Yellow Yams,6.05,"Mclaughlin, Toronto"
7402,Unknown,"Yellow Russet Potatoes, 10 Lbs",6.99,"Mclaughlin, Toronto"
4684,Unknown,Yellow Potatoes,1.98,"Mclaughlin, Toronto"
14016,President's Choice,Yellow Potatoes,6.99,"Mcarthur, Ottawa"
9557,President's Choice,Yellow Potatoes,6.99,"Brewery Dist, Edmonton"
14752,Unknown,Yellow Potatoes,1.98,"Mcarthur, Ottawa"
981,Unknown,Yellow Potatoes,1.78,"Lonsdale, Vancouver"
3803,President's Choice,Yellow Potatoes,6.99,"Mclaughlin, Toronto"
12035,Farmer's Market,Yellow Potato 10lb Bag,8.49,"Brewery Dist, Edmonton"
3122,Unknown,Yellow Peaches,3.08,"Lonsdale, Vancouver"
12584,Unknown,Yellow Peaches,3.08,"Brewery Dist, Edmonton"
9676,Unknown,Yellow Onions Diced,4,"Brewery Dist, Edmonton"
3697,Farmer's Market,Yellow Onions,10.99,"Lonsdale, Vancouver"
9429,Farmer's Market,Yellow Onions,3.49,"Brewery Dist, Edmonton"
3714,Farmer's Market,Yellow Onions,2.99,"Mclaughlin, Toronto"
13779,Farmer's Market,Yellow Onions,2.99,"Mcarthur, Ottawa"
13,Farmer's Market,Yellow Onions,3.49,"Lonsdale, Vancouver"
13763,Farmer's Market,Yellow Onions,10.99,"Brewery Dist, Edmonton"
16381,Unknown,Yellow Onion,1.54,"Mcarthur, Ottawa"
6297,Unknown,Yellow Onion,1.54,"Mclaughlin, Toronto"
11531,Unknown,Yellow Nectarines,2.16,"Brewery Dist, Edmonton"
14459,President's Choice,Yellow Mini Potatoes,4.99,"Mcarthur, Ottawa"
10089,President's Choice,Yellow Mini Potatoes,4.99,"Brewery Dist, Edmonton"
4393,President's Choice,Yellow Mini Potatoes,4.99,"Mclaughlin, Toronto"
471,President's Choice,Yellow Mini Potatoes,4.99,"Lonsdale, Vancouver"
15903,President's Choice,Yellow Hot Hot Peppers,4.99,"Mcarthur, Ottawa"
3963,President's Choice,Yellow Hot Hot Peppers,4.99,"Mclaughlin, Toronto"
14765,Unknown,Yellow Dragon Fruit,5.99,"Mcarthur, Ottawa"
10410,Unknown,Yellow Dragon Fruit,6.99,"Brewery Dist, Edmonton"
4704,Unknown,Yellow Dragon Fruit,5.99,"Mclaughlin, Toronto"
107,President's Choice,Yellow Caribe Hot Peppers,5.99,"Lonsdale, Vancouver"
6304,Unknown,Yellow Beans,5.99,"Mclaughlin, Toronto"
14483,Unknown,Yellow Asian Pears,2.46,"Mcarthur, Ottawa"
965,Unknown,Yellow Asian Pears,2.46,"Lonsdale, Vancouver"
10130,Unknown,Yellow Asian Pears,2.46,"Brewery Dist, Edmonton"
99,Paramount,"Wonderful Pistachios, Sweet Chili",6.99,"Lonsdale, Vancouver"
9461,Paramount,"Wonderful Pistachios, Sweet Chili",6.99,"Brewery Dist, Edmonton"
3747,Paramount,"Wonderful Pistachios, Sweet Chili",6.49,"Mclaughlin, Toronto"
8723,Unknown,"Wonderful Pistachios, Shelled",8.99,"Mclaughlin, Toronto"
17495,Paramount,"Wonderful Pistachios, Roasted & Salted",6.49,"Mcarthur, Ottawa"
1318,Paramount,"Wonderful Pistachios, Roasted & Salted",6.99,"Lonsdale, Vancouver"
7419,Paramount,"Wonderful Pistachios, Roasted & Salted",6.49,"Mclaughlin, Toronto"
13906,Unknown,White Yams,6.05,"Mcarthur, Ottawa"
5834,Unknown,White Yams,6.05,"Mclaughlin, Toronto"
15452,Unknown,White Potatoes,2.37,"Mcarthur, Ottawa"
5397,Unknown,White Potatoes,2.37,"Mclaughlin, Toronto"
1707,President's Choice,White Potatoes,8.49,"Lonsdale, Vancouver"
11097,Unknown,White Potatoes,2.37,"Brewery Dist, Edmonton"
10720,Unknown,White Peaches,2.31,"Brewery Dist, Edmonton"
15081,Unknown,White Peaches,2.31,"Mcarthur, Ottawa"
5014,Unknown,White Peaches,2.31,"Mclaughlin, Toronto"
1300,Unknown,White Peaches,2.31,"Lonsdale, Vancouver"
2611,Unknown,White Onion,2.44,"Lonsdale, Vancouver"
7404,Unknown,White Onion,2.19,"Mclaughlin, Toronto"
