product brand,product name,ottowa_price,brand id
Unknown,"Bananas, Bunch",1.75,1
Unknown,English Cucumber,1.29,1
Unknown,Red Seedless Watermelon,7.99,1
Unknown,Green Onion,1.49,1
Unknown,Red Cherries,7.83,1
Unknown,Asparagus,5.19,1
Unknown,Tomato On The Vine Red (1 Bunch),2.33,1
Unknown,Tomato Beefsteak Red,1.47,1
Unknown,Lettuce Iceberg,3.99,1
Unknown,Avocados Bag,5.99,1
Farmer's Market,English Cucumber 3Ct,3.49,2
Unknown,Lemon,0.99,1
Farmer's Market,Yellow Onions,2.99,2
Unknown,Strawberries 2LB,8.99,1
Unknown,Red Peppers,2.11,1
Unknown,Celery Stalks,4.99,1
Unknown,Red Onion,2.19,1
Unknown,Zucchini,1.66,1
Unknown,Limes,0.99,1
Unknown,Green Seedless Grapes,13.47,1
Unknown,Cauliflower,4.99,1
Unknown,Cilantro,2.69,1
PC Organics,"Organic Bananas, Bunch",2.88,3
Farmer's Market,Grape Tomatoes,3.99,2
Unknown,Bartlett Pears,1.38,1
Unknown,Blueberries 1 pint,5.99,1
Unknown,Sweet Green Peppers,2.46,1
Unknown,Roma Tomatoes,0.66,1
Unknown,Broccoli Crowns,3.34,1
Farmer's Market,Carrots,3.99,2
Unknown,Royal Gala Apples,1.15,1
Farmer's Market,Corn On The Cob,4.99,2
Unknown,Mango,2.99,1
Unknown,Broccoli,3.99,1
Unknown,Ginger,1.85,1
Farmer's Market,Mini Cucumbers,4.99,2
Farmer's Market,Russet Potatoes,5.99,2
Unknown,Cantaloupe,5.99,1
President's Choice,Ontario Greenhouse-Grown Strawberries,5.99,4
Rooster,"Garlic Bulbs, 3-count",1.29,5
Unknown,Sweet Potato,2.49,1
Farmer's Market,Empire Apples,5.99,2
Unknown,Parsnip,1.92,1
PC Organics,Organic Garlic,3.99,3
Manns,Snap Peas,5.99,6
President's Choice,Blackberries,4.99,4
Unknown,Dried Porcini Mushrooms,5.99,1
Unknown,"Fresh Cut Fruit Salad, Small",7.0,1
Unknown,Seedless Watermelon Sliced,3.79,1
President's Choice,Baby Spinach And Tender Red Lettuce,4.99,4
President's Choice,Honey Roasted Pistachios,7.99,4
