product brand,product name,vancouver_price,brand id
Unknown,"Bananas, Bunch",2.0,1
Unknown,Strawberries 1LB,6.49,1
Unknown,English Cucumber,1.99,1
Unknown,Red Seedless Watermelon,8.99,1
Unknown,Green Onion,1.99,1
Unknown,Red Cherries,13.71,1
Unknown,Asparagus,6.49,1
Unknown,Tomato On The Vine Red (1 Bunch),4.68,1
Unknown,"Romaine Heart, 3 Pack",3.99,1
Unknown,Tomato Beefsteak Red,1.47,1
Unknown,Lettuce Iceberg,3.99,1
Unknown,Avocados Bag,6.49,1
Unknown,Lemon,0.99,1
Farmer's Market,Yellow Onions,3.49,2
Unknown,Strawberries 2LB,9.99,1
Unknown,Red Peppers,2.64,1
Unknown,Celery Stalks,3.99,1
Unknown,Red Onion,2.44,1
Unknown,Zucchini,1.85,1
Unknown,"Bi-Colour Corn, Corn on the Cob",0.99,1
Unknown,Limes,0.99,1
Unknown,Green Seedless Grapes,13.47,1
Unknown,Raspberries 1/2 pint,5.49,1
Unknown,Cauliflower,5.99,1
Unknown,Cilantro,1.99,1
PC Organics,"Organic Bananas, Bunch",2.88,3
Farmer's Market,Grape Tomatoes,4.99,2
Unknown,Bartlett Pears,1.38,1
Unknown,Blueberries 1 pint,3.99,1
Unknown,Sweet Green Peppers,3.08,1
Unknown,Roma Tomatoes,0.79,1
Unknown,Broccoli Crowns,3.34,1
Unknown,Royal Gala Apples,1.38,1
Farmer's Market,Corn On The Cob,5.99,2
Unknown,Broccoli,4.49,1
Unknown,Ginger,2.31,1
Farmer's Market,Mini Cucumbers,4.99,2
Farmer's Market,Russet Potatoes,8.99,2
Unknown,Cantaloupe,4.99,1
President's Choice,Ontario Greenhouse-Grown Strawberries,6.99,4
Rooster,"Garlic Bulbs, 3-count",1.99,5
Unknown,Avocado,1.99,1
Unknown,Sweet Potato,3.46,1
Unknown,Orange Juice,12.0,1
Unknown,"Greek Quinoa Spring Mix Salad, Mini",5.0,1
Unknown,Dried Porcini Mushrooms,5.99,1
Unknown,"Onions, Medium",30.49,1
Manns,Snap Peas,5.99,6
Paramount,"Wonderful Pistachios, Sweet Chili",6.99,7
PC Organics,Gala Apples,1.94,3
Unknown,Large House Salad,12.0,1
President's Choice,Honey Roasted Pistachios,7.99,4
Farmer's Market,Granny Smith Apples,8.99,2
President's Choice,Salad Kit Sweet Kale Club Size,8.99,4
Unknown,"Fresh Cut Fruit Salad, Small",7.0,1
President's Choice,Yellow Caribe Hot Peppers,5.99,4
Unknown,Carrots & Snap Peas,6.0,1
Unknown,Fresh Salsa,4.16,1
Unknown,Greek Salad Family Size,17.0,1
Unknown,McIntosh Apples 3lb Bag,6.99,1
President's Choice,Baby Spinach And Tender Red Lettuce,4.99,4
Paramount,No shell BBQ Pistachios,9.99,7
Unknown,Large House Cheddar Salad,12.0,1
Unknown,Avocado Salad,9.0,1
PC Organics,"Kale, Chard and Spinach Salad Mix",4.99,3
Well,Ink. Lemonade Spirulina,5.99,8
Unknown,Celery Sticks,4.0,1
Paramount,Pistachios No Shells Chili Roasted,9.99,7
No Name,Naturally Imperfect Mixed Sweet Peppers 2.5lb Bag,5.99,9
Farmer's Market,Carrots 2 LB,2.99,2
Manns,Snow Peas,5.99,6
President's Choice,Southwest Salad Kit,6.99,4
PC Organics,Organic Lime,5.99,3
Earthbound Farms Organic,Asian Salad,7.49,10
Unknown,Red Delicious Apples,1.38,1
Unknown,Passion Fruit,2.49,1
Unknown,Pomegranate,4.99,1
Unknown,"Veggie Platter, Small",15.0,1
President's Choice,Ambrosia Apples,1.45,4
Unknown,Italian Parsley,2.69,1
PC Organics,Organics Field Greens Salad Mix,6.99,3
Unknown,"Shrimp & Bacon Caesar Salad, Mini",5.0,1
Unknown,"Southwestern Chicken Salad, Family Size",17.0,1
Tiffany Gates,Tiffany Gate Golden Chickpea Salad,2.29,11
Unknown,Dates Medjool,16.99,1
President's Choice,Green Thai Hot Peppers,5.99,4
Unknown,Watermelon Cubed Large,9.0,1
Farmer's Market,Mango Red 3Ct,5.99,2
Unknown,Curly Parsley,2.69,1
Unknown,Spaghetti Squash,8.3,1
PC Organics,Organic Lemons,6.99,3
Unknown,Premium Chicken BLT,9.0,1
Unknown,Fresh Orange Juice,6.0,1
President's Choice,Oregano,3.29,4
Unknown,Sweet Kale Salad Family Size,17.0,1
PC Organics,Organic Red Potatoes,6.99,3
Unknown,Premium Chicken Caesar Salad,9.0,1
President's Choice,Ranch Pouch 44Ml,0.59,4
Farmer's Market,Pink Lady Apples 5lb Bag,11.99,2
Unknown,"Fresh Berry Bowl, Small",7.0,1
Unknown,Carrots & Celery,6.0,1
PC Organics,Organic Garlic,3.49,3
President's Choice,Broccoli Slaw,7.99,4
President's Choice,Mixiany Tomato 454G,7.49,4
Bolthouse,Ginger Carrot Turmeric,9.99,12
POM Wonderful,Super Tea Pomegranate Peach Passion White Tea,11.99,13
Unknown,Golden Figs,5.99,1
No Name,"Raw, Unsalted Pumpkin Seeds",2.29,9
Unknown,Romaine Salad Family Size,15.0,1
Unknown,Garden Salad Mini,5.0,1
Unknown,Pineapple Cubed Large,10.0,1
Unknown,Pink Lady Apples,1.38,1
President's Choice,Fresh Poultry Herb Blend,3.29,4
Unknown,Blueberry Parfait,5.0,1
Inspired Leaves,Washed Lettuce Crispies & Crunchies,5.99,14
Taylor Farms,"Chopped Salad Kit, Dill Pickle",6.99,15
Unknown,Cold Pressed Lemonade,6.0,1
President's Choice,Kent Mango,3.49,4
Love Beets,Cooked Beets,5.99,16
President's Choice,Live Lettuce Boston,3.99,4
Unknown,Pineapple Cubed Small,6.0,1
Farmer's Market,Mini Potato Trio,7.99,2
Unknown,"Stir Fry Vegetable Mix (Peppers,Mushrooms & Onion Mix)",6.0,1
Aurora,Dried Turkish Figs,2.99,17
PC Organics,Organics Baby Spinach,6.99,3
President's Choice,Chopped Romaine,8.99,4
PC Organics,Organic Mushroom Umami Mix,8.99,3
President's Choice,Fingerling Potatoes,4.99,4
Unknown,Large Caesar Salad,12.0,1
Taylor Farms,Broccoli Crunch Salad Kit,6.99,15
President's Choice,Coleslaw,3.49,4
Unknown,Large Mexican Style Beef Taco Salad,13.0,1
Dole,Sunflower Bacon Crunch Chopped Salad Kit,6.99,18
Marzetti,Southwest Ranch Veggie Dip,1.49,19
Well,Elixir Lemon+Ginger+Honey,3.99,8
Unknown,Honeydew Cubed Small,6.0,1
Fresh Attitude,Caesar Salad with Toppings Single Sized,6.99,20
Unknown,"Chinese Carrots, Jumbo",4.07,1
PC Organics,"Avocados, Bag",6.99,3
Unknown,Red Beets,1.04,1
Farmer's Market,Grape Tomato 907G,7.99,2
Unknown,Premium Greek Classic,9.0,1
Taylor Farms,Everything Ranch Salad Kit,6.99,15
Unknown,"Navel Orange, Medium",2.24,1
Unknown,Russet Potato,2.36,1
PC Organics,Organics Yellow Onions,4.99,3
PC Organics,Arugula & Baby Spinach Salad Mix,4.99,3
President's Choice,Yellow Mini Potatoes,4.99,4
President's Choice,Apple Cider Vin Pouch 45 Ml,0.59,4
PC Blue Menu,Unsalted California Pistachios,11.99,21
Unknown,Cello Spinach,4.99,1
Unknown,Honeycrisp Apples,2.11,1
Unknown,"Snack Cup, Veggies & Dip",6.0,1
Unknown,Cauliflower Florets,6.0,1
Unknown,"Fresh Orange, Spinach, Kale, Celery Juice",7.0,1
Unknown,"Mediterranean Tuna Salad, Mini",5.0,1
Unknown,Long Eggplants,1.92,1
Taylor Farms,"Chopped Salad Kit, Steakhouse",6.99,15
Unknown,Organic Strawberries 1 LB,8.99,1
Unknown,Mixed Dried Mushrooms,5.99,1
Marzetti,Caramel Dip Snack,6.49,19
Unknown,Navel Orange,2.31,1
PC Organics,Organic Basil,3.29,3
Bolthouse,Mocha Cappuccino,6.99,12
PC Organics,Organic Carrots,4.49,3
PC Organics,Organic Peppers,6.99,3
Renees,Sweet Chili Refrigerated Dip,5.99,22
Unknown,Pineapple,5.99,1
Unknown,"Greenhouse Peppers, Orange",2.64,1
Renees,Ranch Refrigerated Dip,5.99,22
Unknown,Blackberries 1/2 Pint,4.99,1
Farmer's Market,Navel Oranges,7.99,2
