product brand,product name,price,store name
Unknown,"Bananas, Bunch",2.0,"Lonsdale, Vancouver"
Unknown,Strawberries 1LB,6.49,"Lonsdale, Vancouver"
Unknown,English Cucumber,1.99,"Lonsdale, Vancouver"
Unknown,Red Seedless Watermelon,8.99,"Lonsdale, Vancouver"
Unknown,Green Onion,1.99,"Lonsdale, Vancouver"
Unknown,Red Cherries,13.71,"Lonsdale, Vancouver"
Unknown,Asparagus,6.49,"Lonsdale, Vancouver"
Unknown,Tomato On The Vine Red (1 Bunch),4.68,"Lonsdale, Vancouver"
Unknown,"Romaine Heart, 3 Pack",3.99,"Lonsdale, Vancouver"
Unknown,Tomato Beefsteak Red,1.47,"Lonsdale, Vancouver"
Unknown,Lettuce Iceberg,3.99,"Lonsdale, Vancouver"
Unknown,Avocados Bag,6.49,"Lonsdale, Vancouver"
Unknown,Lemon,0.99,"Lonsdale, Vancouver"
Farmer's Market,Yellow Onions,3.49,"Lonsdale, Vancouver"
Unknown,Strawberries 2LB,9.99,"Lonsdale, Vancouver"
Unknown,Red Peppers,2.64,"Lonsdale, Vancouver"
Unknown,Celery Stalks,3.99,"Lonsdale, Vancouver"
Unknown,Red Onion,2.44,"Lonsdale, Vancouver"
Unknown,Zucchini,1.85,"Lonsdale, Vancouver"
Unknown,"Bi-Colour Corn, Corn on the Cob",0.99,"Lonsdale, Vancouver"
Unknown,Limes,0.99,"Lonsdale, Vancouver"
Unknown,Green Seedless Grapes,13.47,"Lonsdale, Vancouver"
Unknown,Raspberries 1/2 pint,5.49,"Lonsdale, Vancouver"
Unknown,Cauliflower,5.99,"Lonsdale, Vancouver"
Unknown,Cilantro,1.99,"Lonsdale, Vancouver"
PC Organics,"Organic Bananas, Bunch",2.88,"Lonsdale, Vancouver"
Farmer's Market,Grape Tomatoes,4.99,"Lonsdale, Vancouver"
Unknown,Bartlett Pears,1.38,"Lonsdale, Vancouver"
Unknown,Blueberries 1 pint,3.99,"Lonsdale, Vancouver"
Unknown,Sweet Green Peppers,3.08,"Lonsdale, Vancouver"
Unknown,Roma Tomatoes,0.79,"Lonsdale, Vancouver"
Unknown,Broccoli Crowns,3.34,"Lonsdale, Vancouver"
Unknown,Royal Gala Apples,1.38,"Lonsdale, Vancouver"
Farmer's Market,Corn On The Cob,5.99,"Lonsdale, Vancouver"
Unknown,Broccoli,4.49,"Lonsdale, Vancouver"
Unknown,Ginger,2.31,"Lonsdale, Vancouver"
Farmer's Market,Mini Cucumbers,4.99,"Lonsdale, Vancouver"
Farmer's Market,Russet Potatoes,8.99,"Lonsdale, Vancouver"
Unknown,Cantaloupe,4.99,"Lonsdale, Vancouver"
President's Choice,Ontario Greenhouse-Grown Strawberries,6.99,"Lonsdale, Vancouver"
Rooster,"Garlic Bulbs, 3-count",1.99,"Lonsdale, Vancouver"
Unknown,Avocado,1.99,"Lonsdale, Vancouver"
Unknown,Sweet Potato,3.46,"Lonsdale, Vancouver"
Unknown,Orange Juice,12.0,"Lonsdale, Vancouver"
Unknown,"Greek Quinoa Spring Mix Salad, Mini",5.0,"Lonsdale, Vancouver"
Unknown,Dried Porcini Mushrooms,5.99,"Lonsdale, Vancouver"
Unknown,"Onions, Medium",30.49,"Lonsdale, Vancouver"
Manns,Snap Peas,5.99,"Lonsdale, Vancouver"
Paramount,"Wonderful Pistachios, Sweet Chili",6.99,"Lonsdale, Vancouver"
PC Organics,Gala Apples,1.94,"Lonsdale, Vancouver"
Unknown,Large House Salad,12.0,"Lonsdale, Vancouver"
President's Choice,Honey Roasted Pistachios,7.99,"Lonsdale, Vancouver"
Farmer's Market,Granny Smith Apples,8.99,"Lonsdale, Vancouver"
President's Choice,Salad Kit Sweet Kale Club Size,8.99,"Lonsdale, Vancouver"
Unknown,"Fresh Cut Fruit Salad, Small",7.0,"Lonsdale, Vancouver"
President's Choice,Yellow Caribe Hot Peppers,5.99,"Lonsdale, Vancouver"
Unknown,Carrots & Snap Peas,6.0,"Lonsdale, Vancouver"
Unknown,Fresh Salsa,4.16,"Lonsdale, Vancouver"
Unknown,Greek Salad Family Size,17.0,"Lonsdale, Vancouver"
Unknown,McIntosh Apples 3lb Bag,6.99,"Lonsdale, Vancouver"
President's Choice,Baby Spinach And Tender Red Lettuce,4.99,"Lonsdale, Vancouver"
Paramount,No shell BBQ Pistachios,9.99,"Lonsdale, Vancouver"
Unknown,Large House Cheddar Salad,12.0,"Lonsdale, Vancouver"
Unknown,Avocado Salad,9.0,"Lonsdale, Vancouver"
PC Organics,"Kale, Chard and Spinach Salad Mix",4.99,"Lonsdale, Vancouver"
Well,Ink. Lemonade Spirulina,5.99,"Lonsdale, Vancouver"
Unknown,Celery Sticks,4.0,"Lonsdale, Vancouver"
Paramount,Pistachios No Shells Chili Roasted,9.99,"Lonsdale, Vancouver"
No Name,Naturally Imperfect Mixed Sweet Peppers 2.5lb Bag,5.99,"Lonsdale, Vancouver"
Farmer's Market,Carrots 2 LB,2.99,"Lonsdale, Vancouver"
Manns,Snow Peas,5.99,"Lonsdale, Vancouver"
President's Choice,Southwest Salad Kit,6.99,"Lonsdale, Vancouver"
PC Organics,Organic Lime,5.99,"Lonsdale, Vancouver"
Earthbound Farms Organic,Asian Salad,7.49,"Lonsdale, Vancouver"
Unknown,Red Delicious Apples,1.38,"Lonsdale, Vancouver"
Unknown,Passion Fruit,2.49,"Lonsdale, Vancouver"
Unknown,Pomegranate,4.99,"Lonsdale, Vancouver"
Unknown,"Veggie Platter, Small",15.0,"Lonsdale, Vancouver"
President's Choice,Ambrosia Apples,1.45,"Lonsdale, Vancouver"
Unknown,Italian Parsley,2.69,"Lonsdale, Vancouver"
PC Organics,Organics Field Greens Salad Mix,6.99,"Lonsdale, Vancouver"
Unknown,"Shrimp & Bacon Caesar Salad, Mini",5.0,"Lonsdale, Vancouver"
Unknown,"Southwestern Chicken Salad, Family Size",17.0,"Lonsdale, Vancouver"
Tiffany Gates,Tiffany Gate Golden Chickpea Salad,2.29,"Lonsdale, Vancouver"
Unknown,Dates Medjool,16.99,"Lonsdale, Vancouver"
President's Choice,Green Thai Hot Peppers,5.99,"Lonsdale, Vancouver"
Unknown,Watermelon Cubed Large,9.0,"Lonsdale, Vancouver"
Farmer's Market,Mango Red 3Ct,5.99,"Lonsdale, Vancouver"
Unknown,Curly Parsley,2.69,"Lonsdale, Vancouver"
Unknown,Spaghetti Squash,8.3,"Lonsdale, Vancouver"
PC Organics,Organic Lemons,6.99,"Lonsdale, Vancouver"
Unknown,Premium Chicken BLT,9.0,"Lonsdale, Vancouver"
Unknown,Fresh Orange Juice,6.0,"Lonsdale, Vancouver"
President's Choice,Oregano,3.29,"Lonsdale, Vancouver"
Unknown,Sweet Kale Salad Family Size,17.0,"Lonsdale, Vancouver"
PC Organics,Organic Red Potatoes,6.99,"Lonsdale, Vancouver"
Unknown,Premium Chicken Caesar Salad,9.0,"Lonsdale, Vancouver"
President's Choice,Ranch Pouch 44Ml,0.59,"Lonsdale, Vancouver"
Farmer's Market,Pink Lady Apples 5lb Bag,11.99,"Lonsdale, Vancouver"
Unknown,"Fresh Berry Bowl, Small",7.0,"Lonsdale, Vancouver"
Unknown,Carrots & Celery,6.0,"Lonsdale, Vancouver"
PC Organics,Organic Garlic,3.49,"Lonsdale, Vancouver"
President's Choice,Broccoli Slaw,7.99,"Lonsdale, Vancouver"
President's Choice,Mixiany Tomato 454G,7.49,"Lonsdale, Vancouver"
Bolthouse,Ginger Carrot Turmeric,9.99,"Lonsdale, Vancouver"
POM Wonderful,Super Tea Pomegranate Peach Passion White Tea,11.99,"Lonsdale, Vancouver"
Unknown,Golden Figs,5.99,"Lonsdale, Vancouver"
No Name,"Raw, Unsalted Pumpkin Seeds",2.29,"Lonsdale, Vancouver"
Unknown,Romaine Salad Family Size,15.0,"Lonsdale, Vancouver"
Unknown,Garden Salad Mini,5.0,"Lonsdale, Vancouver"
Unknown,Pineapple Cubed Large,10.0,"Lonsdale, Vancouver"
Unknown,Pink Lady Apples,1.38,"Lonsdale, Vancouver"
President's Choice,Fresh Poultry Herb Blend,3.29,"Lonsdale, Vancouver"
Unknown,Blueberry Parfait,5.0,"Lonsdale, Vancouver"
Inspired Leaves,Washed Lettuce Crispies & Crunchies,5.99,"Lonsdale, Vancouver"
Taylor Farms,"Chopped Salad Kit, Dill Pickle",6.99,"Lonsdale, Vancouver"
Unknown,Cold Pressed Lemonade,6.0,"Lonsdale, Vancouver"
President's Choice,Kent Mango,3.49,"Lonsdale, Vancouver"
Love Beets,Cooked Beets,5.99,"Lonsdale, Vancouver"
President's Choice,Live Lettuce Boston,3.99,"Lonsdale, Vancouver"
Unknown,Pineapple Cubed Small,6.0,"Lonsdale, Vancouver"
Farmer's Market,Mini Potato Trio,7.99,"Lonsdale, Vancouver"
Unknown,"Stir Fry Vegetable Mix (Peppers,Mushrooms & Onion Mix)",6.0,"Lonsdale, Vancouver"
Aurora,Dried Turkish Figs,2.99,"Lonsdale, Vancouver"
PC Organics,Organics Baby Spinach,6.99,"Lonsdale, Vancouver"
President's Choice,Chopped Romaine,8.99,"Lonsdale, Vancouver"
PC Organics,Organic Mushroom Umami Mix,8.99,"Lonsdale, Vancouver"
President's Choice,Fingerling Potatoes,4.99,"Lonsdale, Vancouver"
Unknown,Large Caesar Salad,12.0,"Lonsdale, Vancouver"
Taylor Farms,Broccoli Crunch Salad Kit,6.99,"Lonsdale, Vancouver"
President's Choice,Coleslaw,3.49,"Lonsdale, Vancouver"
Unknown,Large Mexican Style Beef Taco Salad,13.0,"Lonsdale, Vancouver"
Dole,Sunflower Bacon Crunch Chopped Salad Kit,6.99,"Lonsdale, Vancouver"
Marzetti,Southwest Ranch Veggie Dip,1.49,"Lonsdale, Vancouver"
Well,Elixir Lemon+Ginger+Honey,3.99,"Lonsdale, Vancouver"
Unknown,Honeydew Cubed Small,6.0,"Lonsdale, Vancouver"
Fresh Attitude,Caesar Salad with Toppings Single Sized,6.99,"Lonsdale, Vancouver"
Unknown,"Chinese Carrots, Jumbo",4.07,"Lonsdale, Vancouver"
PC Organics,"Avocados, Bag",6.99,"Lonsdale, Vancouver"
Unknown,Red Beets,1.04,"Lonsdale, Vancouver"
Farmer's Market,Grape Tomato 907G,7.99,"Lonsdale, Vancouver"
Unknown,Premium Greek Classic,9.0,"Lonsdale, Vancouver"
Taylor Farms,Everything Ranch Salad Kit,6.99,"Lonsdale, Vancouver"
Unknown,"Navel Orange, Medium",2.24,"Lonsdale, Vancouver"
Unknown,Russet Potato,2.36,"Lonsdale, Vancouver"
PC Organics,Organics Yellow Onions,4.99,"Lonsdale, Vancouver"
PC Organics,Arugula & Baby Spinach Salad Mix,4.99,"Lonsdale, Vancouver"
President's Choice,Yellow Mini Potatoes,4.99,"Lonsdale, Vancouver"
President's Choice,Apple Cider Vin Pouch 45 Ml,0.59,"Lonsdale, Vancouver"
PC Blue Menu,Unsalted California Pistachios,11.99,"Lonsdale, Vancouver"
Unknown,Cello Spinach,4.99,"Lonsdale, Vancouver"
Unknown,Honeycrisp Apples,2.11,"Lonsdale, Vancouver"
Unknown,"Snack Cup, Veggies & Dip",6.0,"Lonsdale, Vancouver"
Unknown,Cauliflower Florets,6.0,"Lonsdale, Vancouver"
Unknown,"Fresh Orange, Spinach, Kale, Celery Juice",7.0,"Lonsdale, Vancouver"
Unknown,"Mediterranean Tuna Salad, Mini",5.0,"Lonsdale, Vancouver"
Unknown,Long Eggplants,1.92,"Lonsdale, Vancouver"
Taylor Farms,"Chopped Salad Kit, Steakhouse",6.99,"Lonsdale, Vancouver"
Unknown,Organic Strawberries 1 LB,8.99,"Lonsdale, Vancouver"
Unknown,Mixed Dried Mushrooms,5.99,"Lonsdale, Vancouver"
Marzetti,Caramel Dip Snack,6.49,"Lonsdale, Vancouver"
Unknown,Navel Orange,2.31,"Lonsdale, Vancouver"
PC Organics,Organic Basil,3.29,"Lonsdale, Vancouver"
Bolthouse,Mocha Cappuccino,6.99,"Lonsdale, Vancouver"
PC Organics,Organic Carrots,4.49,"Lonsdale, Vancouver"
PC Organics,Organic Peppers,6.99,"Lonsdale, Vancouver"
Renees,Sweet Chili Refrigerated Dip,5.99,"Lonsdale, Vancouver"
Unknown,Pineapple,5.99,"Lonsdale, Vancouver"
Unknown,"Greenhouse Peppers, Orange",2.64,"Lonsdale, Vancouver"
Renees,Ranch Refrigerated Dip,5.99,"Lonsdale, Vancouver"
Unknown,Blackberries 1/2 Pint,4.99,"Lonsdale, Vancouver"
Farmer's Market,Navel Oranges,7.99,"Lonsdale, Vancouver"
Remedy,Org Kom Rasp Lemn 700Ml,5.99,"Lonsdale, Vancouver"
Remedy,Kombucha Ginger Lemon,5.99,"Lonsdale, Vancouver"
The Little Potato Company,Microwave Ready Lemon and Garden Herb Potatoes,4.99,"Lonsdale, Vancouver"
POM Wonderful,100% Pomegranate Juice,15.99,"Lonsdale, Vancouver"
Bolthouse,Vanilla Chai Tea,6.99,"Lonsdale, Vancouver"
Well,Cold Pressed Juice Be Well,5.99,"Lonsdale, Vancouver"
PC Organics,Romaine Lettuce Hearts,7.99,"Lonsdale, Vancouver"
No Name,Naturally Imperfect Avocados,9.99,"Lonsdale, Vancouver"
Unknown,Organic Curly Parsley,3.99,"Lonsdale, Vancouver"
Farmer's Market,Peaches,8.99,"Lonsdale, Vancouver"
Unknown,Organic Blackberries,6.49,"Lonsdale, Vancouver"
President's Choice,Chipotle Chop Salad Kit,6.99,"Lonsdale, Vancouver"
Marzetti,"Veggie Dip, Light Ranch",5.99,"Lonsdale, Vancouver"
President's Choice,Crumbled Cauliflower,4.99,"Lonsdale, Vancouver"
Unknown,"Pineapple Vegetable Kebab, 4 pack",10.0,"Lonsdale, Vancouver"
Unknown,4 Inch Oregano Pot,3.99,"Lonsdale, Vancouver"
Unknown,Premium Baby Spinach With Fruit & Nuts,9.0,"Lonsdale, Vancouver"
President's Choice,Baby Arugula Spinach Blend,4.99,"Lonsdale, Vancouver"
POM Wonderful,Pomegranate Juice,9.99,"Lonsdale, Vancouver"
PC Organics,Organic Ginger,3.79,"Lonsdale, Vancouver"
Unknown,Rutabaga,6.28,"Lonsdale, Vancouver"
Unknown,Baby Spinach,9.0,"Lonsdale, Vancouver"
Paramount,"Pistachios, Salt & Pepper",6.99,"Lonsdale, Vancouver"
Unknown,Fresh Fruit Snack Cup,6.0,"Lonsdale, Vancouver"
Unknown,Mini Greek Salad,5.0,"Lonsdale, Vancouver"
Unknown,Blackberries 1 pint,8.99,"Lonsdale, Vancouver"
Unknown,Butternut Squash,12.38,"Lonsdale, Vancouver"
Unknown,Mini Mexican Beef Taco Salad,5.0,"Lonsdale, Vancouver"
Unknown,Brussel Sprouts with Red Onions,7.0,"Lonsdale, Vancouver"
