product id,product name,Edmonton,Vancouver,Ottawa,Toronto
1,100% Carrot,NaN,9.99,6.99,9.99
2,100% Pomegranate Juice,6.99,15.99,6.99,6.99
3,4 Inch Cilantro Pot,3.99,3.99,NaN,NaN
4,4 Inch Oregano Pot,3.99,3.99,NaN,NaN
5,50-50 Blend - A Blend of Baby Spinach and Field Greens,6.99,6.99,6.49,NaN
6,Abate Fetel Pears,NaN,NaN,1.58,1.58
7,Acorn Squash,5.54,5.54,5.54,5.54
8,Alphonso mango,NaN,NaN,5.99,5.99
9,Amazing Mango,6.99,9.99,6.99,6.99
10,Ambrosia Apples,1.45,1.45,8.99,8.99
11,Anaheim Hot Peppers,NaN,NaN,NaN,4.99
12,Antiox,3.99,NaN,NaN,NaN
13,Apple Cider Vin Pouch 45 Ml,NaN,0.59,0.59,0.59
14,Apple Cosmic Crisp,1.85,1.85,2.11,NaN
15,Apricots,1.08,NaN,0.92,0.92
16,"Artichokes, Large",NaN,NaN,NaN,2.99
17,Arugula,NaN,NaN,4.99,4.99
18,Arugula & Baby Spinach Salad Mix,4.99,4.99,4.99,4.99
19,Asian Salad,7.49,7.49,7.49,NaN
20,Asparagus,6.49,6.49,5.19,5.19
21,Ataulfo Mango,2.99,2.99,1.99,1.99
22,Ataulfo Mangoes 3 Count,NaN,NaN,NaN,4.99
23,Avocado,1.99,1.99,2.99,2.99
24,Avocado Ranch Chopped Salad Kit,NaN,NaN,6.99,NaN
25,Avocado Salad,9.0,9.0,NaN,NaN
26,Avocados Bag,6.49,6.49,5.99,5.99
27,"Avocados, Bag",6.99,6.99,6.99,6.99
28,Axiany Cherry Tomatoes,3.99,3.99,NaN,5.99
29,Baby Arugula,4.99,4.99,4.99,4.99
30,Baby Arugula Spinach Blend,NaN,4.99,NaN,4.99
31,Baby Bok Choy,NaN,NaN,4.35,4.35
32,Baby Corn,NaN,NaN,NaN,5.99
33,Baby Eggplants (1 pack),NaN,NaN,2.77,2.77
34,Baby Napa,NaN,NaN,NaN,6.59
