product id,product name,"Brewery Dist, Edmonton","Lonsdale, Vancouver","Mcarthur, Ottawa","Mclaughlin, Toronto"
1,100% Carrot,,9.99,6.99,9.99
2,100% Pomegranate Juice,6.99,15.99,6.99,6.99
3,4 Inch Cilantro Pot,3.99,3.99,,
4,4 Inch Oregano Pot,3.99,3.99,,
5,50-50 Blend - A Blend of Baby Spinach and Field Greens,6.99,6.99,6.49,
6,Abate Fetel Pears,,,1.58,1.58
7,Acorn Squash,5.54,5.54,5.54,5.54
8,Alphonso mango,,,5.99,5.99
9,Amazing Mango,6.99,9.99,6.99,6.99
10,Ambrosia Apples,1.45,1.45,8.99,8.99
11,Anaheim Hot Peppers,,,,4.99
12,Antiox,3.99,,,
13,Apple Cider Vin Pouch 45 Ml,,0.59,0.59,0.59
14,Apple Cosmic Crisp,1.85,1.85,2.11,
15,Apricots,1.08,,0.92,0.92
16,"Artichokes, Large",,,,2.99
17,Arugula,,,4.99,4.99
18,Arugula & Baby Spinach Salad Mix,4.99,4.99,4.99,4.99
19,Asian Salad,7.49,7.49,7.49,
20,Asparagus,6.49,6.49,5.19,5.19
21,Ataulfo Mango,2.99,2.99,1.99,1.99
22,Ataulfo Mangoes 3 Count,,,,4.99
23,Avocado,1.99,1.99,2.99,2.99
24,Avocado Ranch Chopped Salad Kit,,,6.99,
25,Avocado Salad,9.0,9.0,,
26,Avocados Bag,6.49,6.49,5.99,5.99
27,"Avocados, Bag",6.99,6.99,6.99,6.99
28,Axiany Cherry Tomatoes,3.99,3.99,,5.99
29,Baby Arugula,4.99,4.99,4.99,4.99
30,Baby Arugula Spinach Blend,,4.99,,4.99
31,Baby Bok Choy,,,4.35,4.35
32,Baby Corn,,,,5.99
33,Baby Eggplants (1 pack),,,2.77,2.77
34,Baby Napa,,,,6.59
35,Baby Peeled Carrots,,,5.99,
36,Baby Spinach,6.99,9.0,6.49,6.49
37,Baby Spinach And Tender Red Lettuce,,4.99,4.99,
38,Bacon Caesar Chop Salad Kit,,6.99,6.99,
39,Balsamic Vinaigrette Pouch,0.59,0.59,0.59,0.59
40,Banana Oatmeal Granola Parfait with Mixed Berries,,,,5.0
41,"Bananas, Bunch",2.0,2.0,1.75,1.75
42,Barbecue Ranch Chopped Salad Kit,,6.99,6.99,
43,Bard Valley Natural Delights Pitted Medjool Dates,9.99,9.99,9.99,9.99
44,Bartlett Pears,1.38,1.38,1.38,1.38
45,Basil,,5.49,4.99,2.99
46,Bay Leaf,,,2.99,
47,Bean Runner,,,4.99,4.99
48,Bean Sprouts,,,,2.49
49,Berry Boost,6.99,6.99,6.99,6.99
50,Berry Boost Juice,,,4.99,4.99
51,Beta Sweet Carrots,,,,5.99
52,"Bi-Colour Corn, Corn on the Cob",0.99,0.99,,0.99
53,"Bio Raw, Fiesta",,,,12.0
54,"Bio Raw, The Shred",,,,12.0
55,Black Figs,,,1.29,1.29
56,Blackberries,,,4.99,4.99
57,Blackberries 1 pint,8.99,8.99,8.99,8.99
58,Blackberries 1/2 Pint,4.99,4.99,,
59,Blood Orange Tarocco,,,2.89,
60,Blood Oranges,7.99,7.99,7.99,
61,Blue Goodness,6.99,6.99,6.99,6.99
62,Blueberries,4.99,4.99,4.99,
63,Blueberries 1 pint,3.99,3.99,5.99,5.99
64,Blueberries 1/2 pint,,,3.99,
65,Blueberry Parfait,5.0,5.0,5.0,
66,Bok Choy,3.51,3.51,2.98,
67,Bombay Chicken Salad,,,6.18,
68,Bosc Pears,,1.69,,1.45
69,Broccoli,4.49,4.49,3.99,3.99
70,Broccoli Cashew Crunch Salad,,,,2.29
71,Broccoli Crowns,3.34,3.34,3.34,3.34
72,Broccoli Crunch Salad Kit,6.99,6.99,,6.99
73,Broccoli Florets,4.99,9.99,4.99,4.99
74,"Broccoli Salad, Mini",5.0,,,
75,Broccoli Slaw,4.49,7.99,4.49,4.49
76,Broccolini,3.99,3.99,3.99,3.99
77,Brussel Sprouts with Red Onions,7.0,7.0,7.0,
78,Brussels Sprouts,,0.33,0.3,0.3
79,Buttercup Squash,,,10.06,10.06
80,Butternut Squash,12.38,12.38,12.38,12.38
81,Butternut Squash Crinkle Fries,,,7.0,
82,C-Boost,6.99,6.99,6.99,6.99
83,"Cabbage, Green",6.27,6.27,4.77,4.77
84,Cactus Pears 12X4ct,,,3.99,3.99
85,Caesar Salad Chop Kit,6.99,6.99,,
86,Caesar Salad Family Size,17.0,,17.0,17.0
87,Caesar Salad Kit,5.99,7.99,5.99,7.99
88,Caesar Salad Mini,5.0,5.0,5.0,
89,Caesar Salad with Toppings Single Sized,6.99,6.99,5.99,5.99
90,"Caesar Salad, No Bacon",,5.0,,
91,California Salad,9.0,,,
92,Canadian Reds Lettuce,5.99,5.99,,
93,Cantaloupe,4.99,4.99,5.99,5.99
94,Cantaloupe Halves,6.0,,,
95,Cantaloupe Slices,6.0,,6.0,6.0
96,"Caprese Salad, Mini",10.0,,,
97,Car Cara Orange,,,6.49,
98,Caramel Dip,,,,5.99
99,Caramel Dip Snack,6.49,6.49,6.49,6.49
100,Caribbean Avocado,5.99,,3.99,3.99
101,Carrot Chips,,,2.99,2.99
102,Carrots,0.57,0.57,3.99,3.99
103,Carrots & Celery,6.0,6.0,,
104,Carrots & Cucumber,6.0,6.0,6.0,
105,Carrots & Snap Peas,,6.0,,
106,Carrots 2 LB,2.99,2.99,,
107,Carrots 5lb Bag,6.99,6.99,,
108,"Carrots, Bunched",2.99,2.99,,3.99
109,Cassava,3.73,,3.73,3.73
110,Cauliflower,5.99,5.99,4.99,4.99
111,Cauliflower And Broccoli,6.0,6.0,6.0,
112,Cauliflower Florets,6.0,6.0,6.0,
113,Cauliflower Slaw,4.49,4.49,4.49,
114,Cauliflower Steak,10.0,,,
115,"Cauliflower, Kale & Cranberry Salad",,,2.29,2.29
116,Celery Hearts,5.99,5.99,6.99,5.99
117,Celery Root,8.34,,4.16,4.16
118,Celery Stalks,3.99,3.99,4.99,4.99
119,Celery Sticks,,4.0,,
