brand id,product brand
1,Unknown
2,President's Choice
3,Farmer's Market
4,Paramount
5,Inspired Leaves
6,Marzetti
7,Bolthouse
8,PC Blue Menu
9,Greenhouse
10,Tiffany Gates
11,Renees
12,Eat Smart
13,POM Wonderful
14,Dole
15,Aurora
16,Sunrich
17,Manns
18,Fresh Attitude
19,GoodLeaf
20,Loop
21,PC Organics
22,No Name
23,Remedy
24,Gourmet Garden
25,The Little Potato Company
26,COVE
27,Love Beets
28,Wholly Guacamole
29,Summer Fresh
30,Well
31,Taylor Farms
32,Rooster
33,Duda Farms
34,7D
35,Litehouse
36,Earthbound Farms Organic
